Odorscenes, dPsiBar
1,1.0436927668206144e-20
2,9.173037840604947e-09
3,3.3055081095704157e-06
4,4.485022902580432e-05
5,0.00028000924927253003
7,3.661865684574805e-05
10,0.0036464943445145524
15,0.0011957688640073971
20,0.0001798823409351032
25,7.876478034201238e-05
30,0.0023327502026026584
35,0.010356960133220692
40,0.004222418311362128
45,0.0021050597791931725
50,0.003975419234561272
60,0.0007586815694025056
70,0.003910477219420463
80,0.004256175527897176
90,0.005193674781959137
100,0.008759173238942276
120,0.0015485360612325695
140,0.00945585359072916
160,0.013343614445665088
200,0.017755291951365472
250,0.016633619467163643
300,0.014305905883125308
350,0.014135893177335435
400,0.021543389346225322
