Odorscenes,activ 0,activ 1,activ 2,activ 3,activ 4,activ 5,activ 6,activ 7,activ 8,activ 9,activ 10,activ 11,activ 12,activ 13,activ 14,activ 15,activ 16,activ 17,activ 18,activ 19,activ 20,activ 21,activ 22,activ 23,activ 24,activ 25,activ 26,activ 27,activ 28,activ 29,occ 0,occ 1,occ 2,occ 3,occ 4,occ 5,occ 6,occ 7,occ 8,occ 9,occ 10,occ 11,occ 12,occ 13,occ 14,occ 15,occ 16,occ 17,occ 18,occ 19,occ 20,occ 21,occ 22,occ 23,occ 24,occ 25,occ 26,occ 27,occ 28,occ 29,odoAmt 0,odoAmt 1,odoAmt 2,odoAmt 3,odoAmt 4,odoAmt 5,odoAmt 6,odoAmt 7,odoAmt 8,odoAmt 9,odoAmt 10,odoAmt 11,odoAmt 12,odoAmt 13,odoAmt 14,odoAmt 15,odoAmt 16,odoAmt 17,odoAmt 18,odoAmt 19,odoAmt 20,odoAmt 21,odoAmt 22,odoAmt 23,odoAmt 24,odoAmt 25,odoAmt 26,odoAmt 27,odoAmt 28,odoAmt 29
Odorscene1,1.3901027026248169e-34,1.8689996266548612e-25,1.8300135783587376e-18,1.6073671908339868e-24,2.244952907117323e-22,5.217420790457786e-14,9.226049312643262e-17,0.029559303351057324,7.068801252415244e-40,2.867468963871523e-79,1.2811949596618143e-23,8.952940198097384e-12,6.1003691390546535e-27,4.799386417544305e-72,1.3608198915092538e-31,1.8962782578647857e-32,0.0011998649525770213,2.8794968167869997e-41,1.3724130969111977e-108,5.564500428318125e-81,1.467398690559182e-62,2.623410796947515e-70,3.877835357161376e-93,3.573524151171691e-49,1.0299737540638206e-43,1.782357242297726e-14,3.441609817774445e-19,3.2533180746386364e-106,3.210456408250018e-32,2.4642981555765133e-24,1.0000004549704085e-10,1.000033973456855e-10,3.189518295014536e-10,1.0008956175967369e-10,1.0002313197533375e-10,1.9846400092565692e-10,1.3140249580108868e-10,0.0951691112632544,1.000000006072188e-10,1.0000013038603258e-10,1.0019769608002764e-10,7.143220406457693e-07,1.0001504332963094e-10,9.999999999085015e-11,1.0000000961422589e-10,1.02455047417801e-10,0.003441950157822414,1.0000025848022872e-10,9.999999999000221e-11,1.0000000819709414e-10,9.999999999e-11,9.999999999037012e-11,9.999999999e-11,9.999999999000051e-11,1.0389709963524812e-10,7.545522827937966e-10,1.0140918804987921e-10,9.999999999e-11,1.000000019155294e-10,1.0001630109719176e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene2,9.950345431103815e-36,3.3336064538307977e-46,2.109110733331708e-39,1.0410705663657083e-11,1.0561520668220566e-42,0.0011664752714747007,9.413536788362833e-37,6.35345499537855e-18,1.777615018536669e-15,7.819021453056954e-17,5.86672178310996e-40,3.091909715216984e-17,4.2360658135111365e-17,5.85499337978469e-14,2.4593414753864584e-10,7.113755583888312e-16,6.902827832215641e-15,0.0003558647569956058,8.55332561446018e-15,2.826222931285066e-29,2.6880431023138225e-06,1.849598816526783e-48,0.0013182432120093486,6.572085042176911e-11,6.46734699358818e-22,6.85491677150182e-17,4.864221638002173e-32,8.757829610935509e-69,2.3086212258763434e-54,1.957076291737816e-75,2.000003389787313e-10,1.9999999996341836e-10,2.0000000291007667e-10,4.1066645517164665e-09,1.9999999996708308e-10,0.0037827498301139756,2.0002650976098564e-10,2.402968192871273e-10,2.7744933831805035e-08,2.45120378702616e-10,2.003577712813511e-10,3.8405467040782217e-10,2.0760985093150326e-10,3.593994627461473e-09,1.1047909597147468e-08,2.8545885657989515e-10,2.1618192451395778e-09,0.0010432495887333125,4.0471133719284546e-10,2.0054282702071723e-10,0.000214816044716367,2.0000000492841946e-10,0.006509574741233389,1.0537817658207518e-06,9.913143455120775e-10,1.0518508928608879e-08,2.0000000307353743e-10,2.0000011871302887e-10,2.000002634736724e-10,2.0000371147351162e-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Odorscene3,5.039323100088481e-45,8.251456469687545e-29,4.791609538906938e-14,1.3932637855292425e-05,1.9894035193453847e-17,3.416128558233967e-78,1.0869852994293932e-14,0.4605385606842225,1.3650292236967405e-29,0.00011869371370852583,7.027200608603611e-61,1.6430662887102794e-28,1.2478852939764668e-59,3.0997020462012394e-19,2.4907395285253738e-18,2.37669841754974e-14,3.17617636675069e-31,2.9542483506868344e-11,4.838857722801094e-41,1.1646380753434513e-36,5.55300310342699e-13,1.977290206996848e-06,2.719042514150406e-38,3.9389643650764347e-10,1.1850646206893995e-33,2.880701402754004e-22,1.501135687631507e-12,7.207166426671849e-93,1.7050370999378962e-32,1.1691495888376246e-28,3.0000536894214455e-10,3.000000758447138e-10,3.917509964783672e-10,0.0005192328751999115,3.066075687202052e-10,2.999999999223857e-10,3.9631247114203077e-10,0.46805461236875356,3.0000002764808267e-10,0.0009600679771130255,3.000000802176201e-10,3.0001428548815205e-10,3.0000096632616135e-10,3.0556685269547415e-10,3.014579644224288e-10,1.4309839745023836e-09,3.0006524947119617e-10,6.913045383765848e-08,2.9999999991224487e-10,3.0000000056317987e-10,1.3923460167093792e-07,1.0633544109672628e-05,3.010112190786677e-10,1.720868314471806e-06,3.0000002238013573e-10,3.027781676116392e-10,8.660455811165675e-08,2.9999999991000404e-10,3.0182010154992215e-10,3.000004084321766e-10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0
Odorscene4,2.4173053907053464e-18,5.588052020249504e-17,2.6552751149907367e-21,2.2341265108083143e-20,3.023135244742444e-29,0.49615625978636835,1.4588493761632783e-16,2.6641909420674624e-09,1.1581906984051276e-13,4.337086699381295e-26,1.919460198003102e-17,8.585727863203458e-17,3.5900986786029755e-17,1.943631779439321e-24,2.586850391429951e-20,2.848942302978099e-09,1.1768970079625449e-34,2.522273433055833e-13,0.0008170875604074759,3.543332380239157e-16,8.001907773152106e-16,1.9657766765256412e-21,1.7901203978918193e-10,2.0416909930474658e-25,4.816037109347134e-22,4.707029905875579e-28,8.905196087079081e-25,2.6400208993385717e-42,0.010509838978042453,5.055726935884708e-24,5.157815545947925e-10,4.069821433648444e-10,4.0067053794697706e-10,4.0267813160880854e-10,4.000320070532712e-10,0.497913088241994,4.1412691939945284e-10,2.173655269946231e-06,5.371537688344052e-08,4.0002158956730025e-10,4.049526828413354e-10,4.085993142296175e-10,6.101421099509852e-10,4.004061504142701e-10,4.126282683072366e-10,3.9199947752710355e-07,4.000000000993721e-10,6.784700510762313e-10,0.009687050663192339,1.7664356712002584e-08,1.3024556411864414e-08,4.60609035620163e-10,1.146597548718906e-06,4.00026177969947e-10,4.001608746290752e-10,4.00000193288529e-10,4.0014700368228185e-10,4.000000146184171e-10,0.03918295414265753,4.0289724252218715e-10,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
Odorscene5,5.651431090069599e-25,0.0006856137241584361,0.04461850347093936,1.069876041655461e-27,1.0365960369380126e-13,2.1756044725411466e-11,4.708264027338928e-12,2.5370525853149206e-17,0.0024479753208558083,1.1337823878185967e-17,3.8314196636229725e-12,8.866022001128489e-18,1.1160522610325444e-35,5.050582525317387e-16,1.3021607502833524e-18,3.476138511075129e-53,6.159923920649565e-14,7.146703513456871e-14,1.1246557243137356e-23,2.6214368839800277e-15,3.7642031744909502e-06,3.808715653714006e-11,6.899170293339654e-29,2.315225403663696e-16,2.4969339565784288e-06,1.4635644375948784e-35,4.9649902724767005e-21,2.961400240396835e-16,1.8091176654651075e-19,2.201297117111441e-19,7.461718334333329e-10,0.005000499141708669,0.12930063308249526,5.001309314684655e-10,1.7205458816697917e-09,8.178849971422043e-09,4.75605448924256e-07,8.609903019771307e-10,0.013775470734751613,5.730258553361277e-09,2.3507887810023046e-07,5.025784463098926e-10,5.001205479294306e-10,1.0476286672874998e-08,5.142030928982834e-10,5.000488473846609e-10,1.7832947169237416e-08,1.0333525707866388e-07,5.002981640282177e-10,9.320749176368249e-10,0.0001549418060774077,9.631489466308378e-07,5.000208378377479e-10,1.4807032507876495e-08,0.00026561079860458903,5.187616126740488e-10,5.034790476604681e-10,9.372091785849314e-10,8.017827364844911e-10,5.06277509828801e-10,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
Odorscene6,1.2318030582418613e-05,1.2735379385351759e-18,5.2934288489585565e-22,7.635967912309336e-15,6.7217216313222845e-31,2.9076116036411635e-32,0.15858352411226292,6.874909732812211e-06,6.096966390289794e-20,6.864190559709152e-08,1.9318472122589608e-10,1.1964614882851098e-11,1.1685611339290926e-45,7.987069767959138e-14,4.8304426553161605e-20,5.198685396088756e-13,7.295190050545245e-17,6.924524276273254e-20,2.297304974883082e-16,1.0608974290003311e-16,8.468049853158826e-11,3.719373877933343e-15,0.015744778124195048,4.6028363828504187e-10,1.04546744876809e-06,7.376451485760785e-06,4.768744288936881e-14,0.06688595574920593,1.7202583216789802e-13,1.7343114904835363e-20,0.00032282249866761367,7.097341014545926e-10,7.000578419602213e-10,7.647543115577686e-10,7.000032354161386e-10,7.0176640633353e-10,0.23386989212217454,0.00052180135431391,7.017595336707282e-10,3.579342410477809e-06,1.2930807133940895e-08,2.224982339899306e-09,7.000004548443605e-10,1.697091345233844e-08,1.5197914142029016e-09,1.5532822691222883e-07,9.552007046550048e-10,1.9893626931137167e-09,7.147498403470356e-10,7.919604505339481e-10,1.801059911810176e-06,1.3462041251873653e-09,0.06459011588225155,1.62501275192361e-08,0.00022212120453141474,0.0005120093586455922,8.665427047782145e-10,0.09325600594677914,9.744958873205802e-10,2.1600339119838276e-09,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
Odorscene7,2.029731633502098e-08,3.0445478887663225e-05,9.27257845354623e-11,2.9706613018454124e-13,0.0005631063959615376,1.1962400924449895e-22,0.02496024631689276,6.742052045394995e-23,1.0498559947686993e-18,2.0612883711899043e-11,5.610670856145568e-14,5.701110423319273e-16,3.3881038531647383e-20,7.830504440600734e-14,1.1295047567194361e-16,0.0034866055217354585,3.0926148109133756e-09,1.0979921235227384e-18,0.00018263061300155734,0.10764517078826905,4.223859786848471e-07,0.2205906223895954,4.4998910108638284e-08,9.5626775954889e-17,0.0031954178565967934,5.138080284051825e-21,7.892679005036924e-05,9.756621062479268e-25,0.05045192076994906,1.8470558540244963e-13,6.135306720710996e-07,0.0012296582102097162,2.0124962071990747e-08,1.5538847587641527e-08,0.008535791831169324,1.595866580450754e-09,0.07462923298207799,1.1052731986989372e-09,1.1961561033995356e-09,1.3742179742522282e-08,3.309107719368102e-08,2.13776512508708e-08,1.023564818948112e-09,1.1787183454664405e-09,2.6096249743701047e-09,0.006288004672756182,1.3599579292045208e-07,2.3152558163759746e-09,0.0040033179162349206,0.1866551444794962,4.910207116489767e-05,0.26139453459429646,7.409814723102693e-06,1.2141564994022524e-08,0.021302006268436518,1.1387292724584706e-09,0.00023254600633474377,1.0019148054501603e-09,0.1361843456206447,8.08610326387201e-09,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0
Odorscene8,1.211772650195786e-08,5.5020848335626424e-18,1.1809162667980968e-13,0.00021536912976713639,6.253636430751678e-10,4.07836048091673e-13,6.509703218536378e-05,8.644004698037536e-08,8.015997714068449e-05,1.0531719289745513e-11,0.04495685641097531,2.4609943160740014e-18,0.0029368150704031032,1.0724699444151799e-05,0.4129133108954322,5.330783671007852e-06,1.6753551281123108e-05,6.526391156080392e-14,0.2403722616269225,1.9762661254676252e-08,2.8878729625904267e-05,4.65594022232111e-18,0.00014389295918933471,0.0008472150830037671,0.000350517096291135,2.1126007497859208e-08,3.238260886827349e-05,6.690954511125193e-11,0.0014996457478999485,4.810157054020104e-09,2.2765338151802416e-07,1.5550398789679376e-09,1.607471617137147e-08,0.0048873591836916894,4.926313327305219e-06,2.0570632396798897e-07,0.002406546321214974,4.7279398590570036e-06,0.002658487518420928,1.9759745948396822e-08,0.1262362892958478,3.684034477152765e-09,0.023813242704077187,7.097345599735173e-05,0.4527261799722676,0.00053844365516481,0.0010152144507517941,4.533034625922706e-08,0.33896341050324436,7.47128495350741e-06,0.001274017290469437,1.6758623803340737e-09,0.003843123916197427,0.004107300122028596,0.0008833629757962737,3.336582641900061e-07,0.0007436192026221378,2.039133304478252e-08,0.01462893969484927,8.189003385985969e-06,3.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0
Odorscene9,0.0009770597410863812,6.82391524828191e-12,2.6131324899509984e-13,2.1222574888062288e-06,0.025440641050940915,0.001822400304448047,3.1322128286639428e-06,9.255318142036865e-14,6.964035078530977e-06,5.442857584449714e-09,1.1250055068199555e-13,9.322962427246959e-06,2.6383817577703646e-08,2.878989741150469e-10,1.5524339522870893e-10,0.0026211958200008443,4.0773051621956e-06,8.64423115615425e-19,0.24654382833251234,2.002633357166785e-19,0.0019436266523782785,1.706087691118616e-14,0.13318023967960244,6.832026003214048e-08,3.3119985346756784e-11,0.00021816824710453264,0.012427711551404944,1.4288286836841532e-05,0.07449022395123048,0.00814649910788942,0.008791523450616798,3.5127481237431036e-08,1.399020032890569e-07,1.366170275588029e-05,0.036569316122313573,0.005276955407076015,0.00032416651470428313,4.8999414908293716e-09,0.0006612596485684031,1.4763812693243827e-07,2.9063406449803578e-09,0.00012358777959615554,2.777592799634011e-05,3.274148889463108e-07,9.371124634662972e-07,0.007950762839010932,6.752463519387605e-05,2.351753832536787e-09,0.33089411655277096,2.162885537406782e-09,0.006464977927277626,7.040970610766755e-08,0.1846154006224841,2.4897010138905966e-05,1.6292430869667315e-08,0.0015883967176262843,0.043299468005937265,0.0009778591750025916,0.10285359340572081,0.014123615772687548,4.0,1.0,2.0,0.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,0.0,3.0,4.0,3.0,2.0,4.0,0.0,3.0,4.0,2.0,1.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
Odorscene10,0.26679889524814376,0.04974169940795178,1.5771160532534782e-09,1.7159001744210536e-05,3.7793649699218013e-11,4.662330619132293e-16,0.0002356274278006062,0.007170713014983791,2.30087907254345e-13,7.039486578769804e-05,1.2158629906311503e-08,4.918725637152171e-05,1.1887611124282953e-05,0.4450732347985044,1.980358193855385e-06,3.954375097428924e-11,0.023889967338966214,2.611637573869954e-12,6.266465743428216e-11,9.879484248102651e-11,0.0001360385478117863,1.184480233324272e-13,0.004573710434042068,1.6008028971411362e-13,4.3070525558375e-09,0.1585436322733864,5.811728903235231e-11,0.02860119628785362,4.242851467402282e-10,1.2867100815064786e-07,0.3482320276696142,0.0827734369319606,5.65529677423093e-07,0.0005020880962004691,3.611874684417929e-08,2.5902037954966418e-09,0.0006495578122190191,0.013495583270690186,1.401005658836691e-08,0.002670823325955273,3.2437103571103444e-06,0.0012533317252294575,0.0001657651868989635,0.4853955183614916,0.00013736063300961562,1.6966914012400183e-07,0.053094829038752914,7.749374708322925e-08,4.533842914801166e-08,1.4629693654424588e-06,0.0037300543674141026,1.3170069022266732e-07,0.023257787892595763,2.160254589122311e-08,1.4458053268348286e-07,0.2688129896866569,7.620619401710307e-08,0.048695900765799396,2.426385755037119e-08,3.3732340668583256e-05,3.0,1.0,2.0,1.0,2.0,4.0,5.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,5.0,3.0,4.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,5.0,1.0
