Odorscenes, dPsiBar
1,0.0014170696317365066
2,0.008032972983289949
3,0.002172173991960736
4,0.0006729981604635242
5,0.001069658668687025
7,0.006964659045830025
10,0.01066259219025781
15,0.015111000756582218
20,0.011625070909566458
25,0.015718787965545256
30,0.018528363346343488
35,0.025639316555711236
40,0.014528654659597975
45,0.024234689022691575
50,0.016963927353296708
60,0.02422314588863289
70,0.033404310382739874
80,0.02809725395127273
90,0.02954886650653673
100,0.02490384687087002
120,0.0467406444418529
140,0.040205564113950654
160,0.03365918940761199
200,0.03251780592495037
250,0.05242470666760754
300,0.03714459802984313
350,0.053073366318356865
400,0.038675552326007924
