Odorscenes,activ 0,activ 1,activ 2,activ 3,activ 4,activ 5,activ 6,activ 7,activ 8,activ 9,activ 10,activ 11,activ 12,activ 13,activ 14,activ 15,activ 16,activ 17,activ 18,activ 19,activ 20,activ 21,activ 22,activ 23,activ 24,activ 25,activ 26,activ 27,activ 28,activ 29,occ 0,occ 1,occ 2,occ 3,occ 4,occ 5,occ 6,occ 7,occ 8,occ 9,occ 10,occ 11,occ 12,occ 13,occ 14,occ 15,occ 16,occ 17,occ 18,occ 19,occ 20,occ 21,occ 22,occ 23,occ 24,occ 25,occ 26,occ 27,occ 28,occ 29,odoAmt 0,odoAmt 1,odoAmt 2,odoAmt 3,odoAmt 4,odoAmt 5,odoAmt 6,odoAmt 7,odoAmt 8,odoAmt 9,odoAmt 10,odoAmt 11,odoAmt 12,odoAmt 13,odoAmt 14,odoAmt 15,odoAmt 16,odoAmt 17,odoAmt 18,odoAmt 19,odoAmt 20,odoAmt 21,odoAmt 22,odoAmt 23,odoAmt 24,odoAmt 25,odoAmt 26,odoAmt 27,odoAmt 28,odoAmt 29
Odorscene1,0.0,0.0,1.932243095097237e-151,9.539334277430098e-297,5.0504259633535125e-132,7.127700728198553e-90,1.8723528947632677e-123,2.603630605272524e-19,3.681358392978719e-157,0.0,1.2389790098529374e-223,4.680169566952338e-192,0.0,0.0,1.584633441419969e-264,6.6738516624913215e-84,9.628393248186927e-217,1.4497799028574794e-139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999e-11,9.999999999e-11,9.999999999000221e-11,9.999999999e-11,9.999999999e-11,1.000002731265509e-10,1.0000000072265239e-10,1.0117659816659156e-10,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene2,1.2172800706811085e-168,0.0,6.455455557553793e-238,1.2930867711721192e-63,6.673489954361626e-147,2.5179181804903014e-81,0.0,1.0111086187045626e-243,9.298889888860448e-157,0.0,1.3904189779506571e-12,2.885817922996896e-129,0.0,0.0,5.308739766728958e-30,2.6326636400896907e-80,8.753679755784193e-283,9.722097767763243e-15,9.03811666795646e-195,3.706973922682715e-131,4.051537726192214e-220,3.5653058798751653e-13,5.424000234255754e-15,6.382643936380659e-92,0.0,0.0,2.0614329283769655e-24,8.223739416355822e-11,7.160318976602754e-13,4.461980683999686e-82,1.99999999960001e-10,1.9999999996e-10,1.9999999996e-10,1.9999999996e-10,1.9999999996e-10,1.9999999996e-10,1.9999999996e-10,1.9999999996e-10,1.9999999996e-10,1.9999999996e-10,3.0758776395095524e-09,1.9999999996000006e-10,1.9999999996e-10,1.9999999996e-10,2.0050719687107436e-10,1.9999999996e-10,1.9999999996e-10,1.619624648105255e-09,1.9999999996e-10,2.0000000004232314e-10,1.9999999996e-10,5.302070213439971e-10,2.9091705774969965e-10,1.9999999996e-10,1.9999999996e-10,1.9999999996e-10,2.010785331148884e-10,2.850965741441482e-07,1.6363923352370116e-09,1.9999999996e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene3,6.636486876228879e-22,0.0,0.0,1.7160328659572205e-54,0.0,3.1771006986731903e-63,4.8328522126221624e-123,0.0,4.486069541626357e-30,5.483665235322041e-84,7.416632611818215e-60,2.8050794746916962e-211,2.7072010245614594e-106,0.0,6.4264695996072736e-49,7.178228395886498e-104,1.3788000023899102e-106,7.752395938108695e-20,5.867632471964721e-177,1.3074935598667969e-05,1.0166945682705836e-274,3.9154944532602056e-72,0.0,9.668272606390124e-107,5.611273706624044e-18,4.504674294284705e-167,3.6907345499355817e-193,4.422160990604163e-112,2.8304909862812946e-13,3.041395110593241e-17,3.0012847062555925e-10,2.9999999991e-10,2.9999999991e-10,2.999999999109558e-10,2.9999999991e-10,3.000000434670504e-10,2.9999999991062277e-10,2.9999999991e-10,3.052775535970049e-10,2.9999999991e-10,2.9999999991e-10,2.9999999991e-10,2.9999999991e-10,2.9999999991e-10,2.9999999991000125e-10,2.9999999991e-10,2.9999999991e-10,3.11664696795699e-10,2.9999999991e-10,0.00011009892189456286,2.9999999991e-10,3.0000000618774044e-10,2.9999999991e-10,2.9999999991e-10,3.020229646455331e-10,2.9999999991e-10,2.9999999991e-10,2.9999999991000006e-10,9.33777629373177e-10,3.395153203453351e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Odorscene4,4.6513059371872423e-39,1.0110418032485875e-91,2.0207893825948124e-190,5.746809623609907e-14,0.0,1.4454265857023948e-79,1.2343704352915183e-297,0.004615744698093642,2.904026531214675e-13,1.3971232039556525e-63,2.640644095013435e-60,3.066352660995465e-29,1.3553079827272865e-44,3.050850968231842e-84,1.7018830933168397e-223,1.186196568586549e-301,4.1302753331429444e-76,4.20470524311894e-154,0.0,5.98738461636065e-69,3.535234598215189e-104,1.1462074734412688e-87,9.544763487464447e-91,2.4294664989454267e-14,1.6209394704288942e-118,3.929047104886087e-139,0.0,6.8976899203085895e-25,0.0,2.2523991818971507e-26,4.0307893281842025e-10,4.0000007268084394e-10,3.9999999984e-10,5.00323552260633e-10,3.9999999984e-10,3.99999999840022e-10,3.9999999984e-10,0.008670860795708397,8.94296156761083e-09,3.9999999984e-10,3.999999998400039e-10,4.2385093070076596e-10,4.000000165248415e-10,3.9999999984e-10,3.9999999984e-10,3.9999999984e-10,3.9999999984e-10,3.9999999984e-10,3.9999999984e-10,4.000131163124877e-10,3.999999998649961e-10,3.9999999991772646e-10,4.0000000111975084e-10,5.340120845712232e-10,3.9999999984e-10,3.9999999984e-10,3.9999999984e-10,4.007038577923173e-10,3.9999999984e-10,4.002870161334936e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene5,7.814695652398037e-276,1.2280164261233619e-219,1.5456455412260115e-14,0.0,4.418220011625065e-71,1.682454871021151e-61,2.5190517979904948e-154,4.1715466556967364e-91,2.548009362900234e-09,6.859560307654469e-08,6.250386978715862e-09,4.1005469626332634e-97,0.0,9.381985161058027e-38,3.4156914595232744e-128,0.0,9.038501014760334e-107,1.1942511812044064e-231,1.1810378690386654e-90,3.461471941903462e-151,1.7257875907321136e-16,3.042714823324128e-65,1.0918523848634062e-38,6.125469042135636e-08,1.0031686270589618e-10,4.034176203702224e-26,4.659965344012652e-15,2.552882726986533e-116,1.2633131605185053e-33,6.879724956192948e-33,4.9999999975e-10,4.9999999975e-10,5.951721420259364e-10,4.9999999975e-10,4.9999999975e-10,5.000000028155855e-10,4.999999997500001e-10,4.999999997500001e-10,3.399812893050889e-07,4.8842712203093996e-05,1.8572252271705787e-07,4.999999997502154e-10,4.9999999975e-10,4.99999999802118e-10,4.999999997506084e-10,4.9999999975e-10,4.999999997500032e-10,4.9999999975e-10,4.9999999975e-10,4.999999997500128e-10,5.083959227831972e-10,5.00000018563362e-10,4.999999998221233e-10,1.2969518499689898e-06,2.211426448642426e-08,5.126080024229831e-10,4.0362142604979386e-08,4.99999999790996e-10,5.000010357702948e-10,5.000000042590104e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene6,3.871007791931345e-71,2.8538048773696987e-156,4.356946989987908e-12,3.725956610714294e-14,4.3367366994097095e-63,6.272923645270601e-163,9.578726702712907e-35,5.5018671230607995e-106,9.623109569152898e-277,1.0796407902136867e-64,1.0188171236273483e-116,3.7092557472232415e-67,1.3569641188614261e-13,9.610037584873842e-22,4.725510478325189e-42,2.4582636129887548e-118,6.143278937690403e-196,1.0060135903258197e-27,1.6624072109712807e-48,2.598782284340511e-59,8.230261303764037e-15,4.558847983239177e-59,5.245929211549903e-37,1.072331731153823e-21,5.427856862169756e-63,4.0221187523989155e-06,1.6626832689878416e-56,1.8953706462574804e-51,5.828573209051564e-55,2.344895238906557e-13,6.9999999951e-10,6.9999999951e-10,1.5722191571739318e-09,1.1902019319638212e-08,6.99999999628309e-10,6.9999999951e-10,7.000287058071752e-10,6.999999995117872e-10,6.9999999951e-10,6.99999999510001e-10,6.999999995100001e-10,7.000000022022828e-10,8.792413486896432e-10,9.344121475326792e-10,7.000327275147548e-10,6.9999999951e-10,6.9999999951e-10,7.000001128153385e-10,7.000574822568345e-10,6.9999999951e-10,7.783679371997861e-10,7.00008941551116e-10,7.000000463294902e-10,7.000455912180201e-10,7.000790775677313e-10,0.00042187693225039896,7.000024508819911e-10,6.9999999951e-10,7.000356157250911e-10,1.3290696246973968e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Odorscene7,1.9906919677424177e-28,2.9355278575434773e-18,2.517342700975535e-40,4.1748698371197994e-14,1.4924692142669496e-77,3.4645345290541174e-96,3.5489586187841576e-09,1.3304474325572947e-18,6.280302088050058e-98,5.687718590360799e-165,5.622477227151683e-82,0.005819806374084791,1.8370903329230533e-13,1.2430800263882217e-18,0.08538807152984118,9.82335382678501e-31,1.5717139869338396e-25,5.1638164433996155e-37,1.3308225928478832e-77,4.855423952191902e-18,5.599163037876602e-75,1.8773811049359425e-17,4.905775784438196e-209,9.924784401979179e-51,2.961064359252218e-136,2.6829351386235553e-49,3.984998929968338e-18,9.539509179257452e-266,4.43774846826335e-26,5.543262338630879e-19,1.0221455065516642e-09,1.0013506231025114e-09,1.0000000239982304e-09,1.112480320797945e-09,1.0000000158615812e-09,9.99999999540926e-10,2.9225765735619435e-06,1.0009510906498774e-09,9.999999990000001e-10,9.999999990000001e-10,9.999999990000001e-10,0.029224279575646956,1.2744151776946146e-09,1.002998264258667e-09,0.17858251508019404,1.0042630899918013e-09,1.0000009859901987e-09,1.000053530449769e-09,1.00000131582239e-09,1.4012771155649743e-09,9.999999990000001e-10,1.234536446917043e-09,9.999999990000001e-10,1.0000069032364256e-09,9.999999990016005e-10,1.0000000512862378e-09,1.0054747770643799e-09,9.999999990000001e-10,1.0129189033325532e-09,1.001814044395694e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene8,1.3753062571416013e-09,0.020095195445748067,1.928642322003046e-152,0.006032305049189187,1.2009096237146873e-06,6.917038384019893e-24,2.574146552387597e-100,9.835447066957189e-40,1.5688687379995648e-30,4.048956147189007e-93,1.3183841260891463e-22,0.0015490682672717375,4.5747849432690184e-06,1.1018480101283107e-08,2.140948479572203e-27,9.443016480758327e-15,1.2682742025915932e-31,4.921241205695201e-37,3.7803468717054746e-29,5.703061420964562e-78,1.243665450827653e-27,1.8341560260212646e-17,2.8494356828197937e-86,5.246281474428323e-63,1.2544448976138246e-58,2.0261337497669532e-98,1.1922462385099559e-25,3.7201069629118735e-37,3.665651015879878e-69,8.299621952125629e-30,8.545806553209013e-08,0.04821423230478844,1.4999999977499997e-09,0.03395492251165747,1.1235213512596514e-05,1.5000178022486866e-09,1.4999999977500088e-09,1.499999997751648e-09,1.5000974175306937e-09,1.4999999977501527e-09,1.500018994495344e-09,0.012335358313571534,0.0005210663921129693,1.684714969251864e-07,1.5008349731013074e-09,2.389114584774608e-09,1.5013272574655228e-09,1.4999999987824972e-09,1.500038749112993e-09,1.4999999977499997e-09,1.50027424422912e-09,1.5085751670190394e-09,1.499999997754613e-09,1.5000009656712584e-09,1.500000000627135e-09,1.4999999978382737e-09,1.6071150318961355e-09,1.5000001526702402e-09,1.499999997750007e-09,1.500000021322326e-09,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Odorscene9,7.988201018771136e-32,2.2951471103763115e-64,1.312607856580813e-28,3.340127501146794e-42,7.689857789536395e-82,1.0409279503961464e-31,2.5219626772272543e-12,4.232466473303722e-22,3.848384540269065e-12,2.701764111855135e-13,7.3288852366108e-19,2.807028382077636e-28,1.7206594604215745e-28,5.582133918639105e-75,1.0703033901325088e-33,5.363039055730045e-26,1.4539309755777498e-61,1.945145843164135e-33,7.337226965034319e-11,3.559878454537027e-40,6.757971078419404e-10,1.5887808253627957e-26,5.325750413853428e-26,5.117801448541369e-22,8.906650304209028e-37,2.2403164820639583e-10,9.338982096998801e-70,8.947068160230367e-40,8.236201583329862e-22,0.0027315520580705683,2.0000046095271445e-09,2.00000001323906e-09,2.0000068128076512e-09,1.9999999960000678e-09,1.9999999960000008e-09,2.0000000335670874e-09,1.9046489805155762e-08,2.0008135663214937e-09,3.128967275900929e-09,1.3616065566195934e-07,2.00089485998319e-09,2.000000085303058e-09,2.000000050556276e-09,1.999999996e-09,2.000000120170812e-09,2.1723772382378543e-09,1.9999999973571713e-09,2.0000000268887033e-09,8.178227257815109e-09,2.000000043321366e-09,5.585307932831293e-07,2.041062784905628e-09,2.0010601074930244e-09,2.0000474455194645e-09,2.0000021795451114e-09,1.4474557820212888e-08,1.999999999808001e-09,2.000204641722824e-09,2.004807526607606e-09,0.0056928945804858985,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
Odorscene10,2.8247269816149083e-10,1.524244653475142e-16,7.910685746244488e-19,5.734642539176594e-10,7.611356331694377e-08,5.957222502576514e-34,8.053418269885938e-14,3.289632174203527e-42,3.511347698118764e-20,2.8275920377210914e-21,2.026244637171882e-21,9.936383673936973e-25,1.5476771539605825e-23,1.180780084177152e-11,2.9721838736036116e-19,0.0014389814859107216,2.3331843699906037e-19,1.602101915345026e-52,1.363961899617607e-29,6.699319785278393e-92,9.958153934576094e-21,4.549232266840837e-23,5.1941577624782255e-42,7.762955758974012e-08,3.7990628908227755e-16,5.539783431278266e-28,3.9120048681046935e-60,6.754685118426831e-14,5.513182199972806e-24,7.00634345454522e-33,3.7846470405352465e-08,2.507832270207775e-09,2.5300420824100927e-09,7.536402904384011e-08,4.855735209762831e-06,2.4999999991014098e-09,2.624246132037607e-09,2.5000753473177503e-09,2.5093470018864095e-09,2.5002798859655524e-09,2.508967818738481e-09,2.5003417793601387e-09,2.5110963195226e-09,7.827247402284768e-09,2.550432579173123e-09,0.0029292835998446704,2.5004508113499683e-09,2.500000326413123e-09,2.5000071173367426e-09,2.4999999937500004e-09,2.5001926437717794e-09,2.5000168486566873e-09,2.505379243459799e-09,1.0098292860884228e-06,2.5127523454494763e-09,2.511347165450338e-09,2.500049566365819e-09,4.4276048623813095e-09,2.5127135048057258e-09,2.5000449510810116e-09,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
